Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 2FH,57.142426,-2.104416,393780,805730,NJ937057,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1990-09-01,1995-12-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2FJ,57.141057,-2.108559,393529,805578,NJ935055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1992-01-01,1996-06-01,"","",,,"","","City Centre West - 01","Large urban area",
AB1 2FL,57.139539,-2.108274,393546,805409,NJ935054,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1993-02-01,1996-06-01,"","",,,"","","Ferryhill North - 05","Large urban area",
AB1 2FN,57.141064,-2.110047,393439,805579,NJ934055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1993-02-01,1996-06-01,"","",,,"","","City Centre West - 02","Large urban area",
AB1 2FP,57.141028,-2.111038,393379,805575,NJ933055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1993-02-01,1996-06-01,"","",,,"","","City Centre West - 02","Large urban area",
AB1 2FR,57.140775,-2.111995,393321,805547,NJ933055,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1994-10-01,1996-06-01,"","",,,"","","City Centre West - 02","Large urban area",
AB1 2HA,57.144547,-2.103017,393865,805966,NJ938059,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 01","Large urban area",
AB1 2HB,57.144654,-2.10386,393814,805978,NJ938059,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 01","Large urban area",
AB1 2HD,57.143713,-2.100834,393997,805873,NJ939058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 01","Large urban area",
AB1 2HE,57.144045,-2.101529,393955,805910,NJ939059,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2HF,57.144054,-2.10171,393944,805911,NJ939059,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1991-11-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
AB1 2HG,57.143353,-2.101246,393972,805833,NJ939058,"","Aberdeen City","Torry/Ferryhill", S12000033,S13002487,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre East - 04","Large urban area",
